query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
63,0.0000,0.0300,0.0080,0.0000,0.0500,0.0200,0.0333,0.0000,0.0140,0.0000,0.0000,0.0682,0.0682,0.0682,0.0385,0.0146,0.0146,0.0083,0.0000,0.0000,0.0000,0.0000,0.0203,13,8,1000,0.0556
66,0.0000,0.0200,0.0090,0.0000,0.0000,0.0150,0.0333,0.0000,0.0140,0.0000,0.0000,0.0370,0.0317,0.0205,0.0205,0.0205,0.0205,0.0123,0.0123,0.0000,0.0000,0.0000,0.0156,12,9,1000,0.0370
73,0.1000,0.0100,0.0090,0.0667,0.0500,0.0100,0.0333,0.2000,0.0120,0.0500,0.0475,0.5000,0.0164,0.0164,0.0125,0.0117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0301,20,9,1000,0.5000
74,0.7000,0.1300,0.0130,0.5333,0.4500,0.0650,0.3667,0.6000,0.0260,0.4737,0.4266,0.7273,0.7273,0.7273,0.7273,0.7273,0.4348,0.3529,0.0000,0.0000,0.0000,0.0000,0.3781,19,13,1000,0.5000
79,0.0000,0.0000,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0080,0.0000,0.0000,0.0094,0.0094,0.0094,0.0094,0.0070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,11,5,1000,0.0060
81,0.5000,0.0800,0.0110,0.4000,0.3000,0.0500,0.2333,0.4000,0.0220,0.4000,0.3156,0.6667,0.6667,0.5714,0.5556,0.4615,0.1333,0.0826,0.0428,0.0000,0.0000,0.0000,0.2543,15,11,1000,0.5000
87,0.2000,0.0400,0.0040,0.2667,0.2000,0.0200,0.1333,0.4000,0.0080,0.2500,0.1250,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.3077,0.3077,0.3077,0.3077,0.3077,0.3076,4,4,1000,0.2500
96,0.0000,0.0200,0.0110,0.0000,0.0000,0.0100,0.0000,0.0000,0.0180,0.0000,0.0000,0.0222,0.0222,0.0222,0.0222,0.0222,0.0205,0.0189,0.0155,0.0000,0.0000,0.0000,0.0139,15,11,1000,0.0192
97,0.3000,0.0600,0.0060,0.2667,0.2000,0.0300,0.1667,0.4000,0.0120,0.3333,0.2469,0.5000,0.5000,0.5000,0.5000,0.2857,0.1786,0.1765,0.0000,0.0000,0.0000,0.0000,0.2193,9,6,137,0.3333
99,0.0000,0.0100,0.0180,0.0667,0.0500,0.0050,0.0333,0.0000,0.0080,0.0345,0.0214,0.0833,0.0210,0.0210,0.0210,0.0210,0.0210,0.0210,0.0000,0.0000,0.0000,0.0000,0.0108,29,18,1000,0.0833
101,0.2000,0.1000,0.0200,0.2000,0.1500,0.0700,0.1333,0.4000,0.0380,0.1538,0.1095,1.0000,0.2308,0.1944,0.1905,0.1077,0.1077,0.0656,0.0516,0.0000,0.0000,0.0000,0.1396,26,20,1000,1.0000
102,0.0000,0.0200,0.0060,0.0000,0.0000,0.0250,0.0667,0.0000,0.0120,0.0000,0.0000,0.0714,0.0714,0.0714,0.0357,0.0357,0.0357,0.0357,0.0165,0.0000,0.0000,0.0000,0.0273,8,6,1000,0.0417
103,0.1000,0.0800,0.0120,0.0667,0.0500,0.0450,0.1000,0.2000,0.0180,0.0526,0.0471,0.3333,0.1071,0.0808,0.0808,0.0808,0.0202,0.0141,0.0000,0.0000,0.0000,0.0000,0.0512,19,12,1000,0.3333
104,0.2000,0.0500,0.0210,0.1333,0.1000,0.0350,0.0667,0.2000,0.0340,0.0588,0.0388,1.0000,0.0439,0.0373,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0245,85,21,1000,1.0000
107,0.0000,0.0100,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0101,0.0101,0.0101,0.0090,0.0090,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0040,11,5,1000,0.0100
111,0.0000,0.0400,0.0170,0.0000,0.0000,0.0350,0.0000,0.0000,0.0220,0.0000,0.0000,0.0732,0.0571,0.0432,0.0243,0.0180,0.0180,0.0000,0.0000,0.0000,0.0000,0.0000,0.0178,31,17,1000,0.0256
115,0.0000,0.0100,0.0080,0.0000,0.0000,0.0050,0.0000,0.0000,0.0040,0.0000,0.0000,0.0111,0.0084,0.0084,0.0084,0.0084,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0029,20,8,1000,0.0111
121,0.0000,0.0800,0.0090,0.1333,0.1000,0.0450,0.1000,0.0000,0.0180,0.0000,0.0000,0.1429,0.1429,0.1282,0.1282,0.1282,0.1273,0.1273,0.1176,0.0841,0.0000,0.0000,0.0925,11,9,1000,0.0769
125,0.0000,0.0100,0.0020,0.0000,0.0000,0.0100,0.0333,0.0000,0.0040,0.0000,0.0000,0.0435,0.0435,0.0435,0.0435,0.0435,0.0435,0.0149,0.0149,0.0149,0.0149,0.0149,0.0292,2,2,1000,0.0435
127,0.0000,0.0100,0.0080,0.0000,0.0500,0.0150,0.0333,0.0000,0.0120,0.0000,0.0000,0.0588,0.0203,0.0203,0.0203,0.0203,0.0141,0.0130,0.0083,0.0000,0.0000,0.0000,0.0144,11,8,1000,0.0588
133,0.0000,0.0300,0.0040,0.0667,0.0500,0.0150,0.0667,0.0000,0.0060,0.0000,0.0000,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0390,0.0390,0.0049,0.0049,0.0049,0.0526,4,4,1000,0.0833
