query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
125,0.0000,0.0100,0.0020,0.0000,0.0500,0.0050,0.0333,0.0000,0.0040,0.0000,0.0000,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0054,0.0054,0.0054,0.0054,0.0054,0.0340,2,2,1000,0.0625
127,0.1000,0.0200,0.0080,0.0667,0.0500,0.0100,0.0333,0.0000,0.0120,0.0909,0.0248,0.1111,0.0317,0.0169,0.0169,0.0169,0.0169,0.0136,0.0087,0.0000,0.0000,0.0000,0.0206,11,8,1000,0.1111
133,0.0000,0.0200,0.0040,0.0667,0.1000,0.0150,0.0667,0.0000,0.0060,0.0000,0.0000,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.0248,0.0248,0.0046,0.0046,0.0046,0.0579,4,4,1000,0.0909
134,0.0000,0.0100,0.0030,0.0000,0.0000,0.0050,0.0000,0.0000,0.0040,0.0000,0.0000,0.0164,0.0164,0.0079,0.0079,0.0036,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0046,6,3,1000,0.0164
136,0.0000,0.0000,0.0080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0313,0.0083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,114,8,1000,0.0020
137,0.0000,0.0200,0.0140,0.0667,0.0500,0.0150,0.0333,0.0000,0.0140,0.0250,0.0175,0.0769,0.0220,0.0154,0.0154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,40,14,1000,0.0769
139,0.0000,0.0800,0.0090,0.0000,0.1000,0.0450,0.0667,0.0000,0.0180,0.0000,0.0000,0.1000,0.1000,0.0909,0.0909,0.0808,0.0808,0.0808,0.0000,0.0000,0.0000,0.0000,0.0525,13,9,1000,0.0625
141,0.2000,0.0400,0.0040,0.2000,0.2000,0.0200,0.1333,0.0000,0.0080,0.1250,0.0312,0.2727,0.2727,0.2727,0.2727,0.2000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1025,8,4,1000,0.1250
148,0.0000,0.0200,0.0160,0.0000,0.0000,0.0350,0.0000,0.0000,0.0240,0.0000,0.0000,0.0442,0.0442,0.0442,0.0442,0.0442,0.0258,0.0168,0.0000,0.0000,0.0000,0.0000,0.0190,25,16,1000,0.0294
152,0.1000,0.0300,0.0040,0.0667,0.0500,0.0150,0.0667,0.0000,0.0060,0.0000,0.0000,0.1000,0.1000,0.1000,0.0857,0.0857,0.0857,0.0857,0.0857,0.0066,0.0066,0.0066,0.0689,4,4,1000,0.1000
153,0.1000,0.1400,0.0480,0.0667,0.1000,0.1100,0.1667,0.0000,0.0700,0.1600,0.1100,0.1786,0.1739,0.1442,0.1080,0.0829,0.0722,0.0529,0.0000,0.0000,0.0000,0.0000,0.0685,75,48,1000,0.1111
155,0.2000,0.0300,0.0060,0.1333,0.1000,0.0300,0.0667,0.0000,0.0120,0.1250,0.0625,0.2222,0.2222,0.2222,0.0361,0.0337,0.0337,0.0337,0.0337,0.0000,0.0000,0.0000,0.0651,8,6,1000,0.1667
157,0.1000,0.0600,0.0240,0.0667,0.1000,0.0400,0.1333,0.0000,0.0340,0.0476,0.0835,0.1562,0.0380,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0098,147,24,1000,0.1111
160,0.0000,0.0100,0.0070,0.0000,0.0000,0.0200,0.0000,0.0000,0.0100,0.0000,0.0000,0.0225,0.0225,0.0225,0.0225,0.0164,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,12,7,1000,0.0156
163,0.1000,0.0500,0.0110,0.2000,0.1500,0.0400,0.1000,0.0000,0.0220,0.2143,0.0816,0.2308,0.2308,0.2308,0.0543,0.0415,0.0415,0.0396,0.0347,0.0000,0.0000,0.0000,0.0624,14,11,1000,0.1429
164,0.4000,0.0400,0.0080,0.2667,0.2000,0.0350,0.1333,0.4000,0.0140,0.3333,0.2778,1.0000,1.0000,0.5000,0.4444,0.0462,0.0462,0.0144,0.0000,0.0000,0.0000,0.0000,0.2572,12,8,1000,1.0000
165,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49,1,1000,0.0013
167,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0031,0.0031,0.0031,0.0031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,6,2,1000,0.0018
169,0.0000,0.0400,0.0240,0.0000,0.0000,0.0350,0.0333,0.0000,0.0300,0.0000,0.0015,0.0476,0.0476,0.0462,0.0435,0.0373,0.0325,0.0304,0.0304,0.0304,0.0245,0.0000,0.0321,26,24,1000,0.0370
170,0.2000,0.0200,0.0030,0.1333,0.1000,0.0100,0.0667,0.4000,0.0060,0.4000,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0071,0.0071,0.0000,0.0000,0.0000,0.0000,0.4014,5,3,1000,1.0000
