query,P_10,P_100,P_1000,P_15,P_20,P_200,P_30,P_5,P_500,Rprec,bpref,iprec_at_recall_0.00,iprec_at_recall_0.10,iprec_at_recall_0.20,iprec_at_recall_0.30,iprec_at_recall_0.40,iprec_at_recall_0.50,iprec_at_recall_0.60,iprec_at_recall_0.70,iprec_at_recall_0.80,iprec_at_recall_0.90,iprec_at_recall_1.00,map,num_rel,num_rel_ret,num_ret,recip_rank
63,0.0000,0.0300,0.0070,0.0667,0.0500,0.0200,0.0333,0.0000,0.0140,0.0000,0.0000,0.0714,0.0682,0.0682,0.0345,0.0157,0.0157,0.0000,0.0000,0.0000,0.0000,0.0000,0.0205,13,7,1000,0.0714
66,0.0000,0.0100,0.0040,0.0000,0.0500,0.0100,0.0333,0.0000,0.0080,0.0000,0.0000,0.0526,0.0177,0.0098,0.0098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0073,12,4,1000,0.0526
73,0.1000,0.0100,0.0090,0.0667,0.0500,0.0100,0.0333,0.2000,0.0120,0.0500,0.0475,0.5000,0.0153,0.0152,0.0132,0.0113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0302,20,9,1000,0.5000
74,0.7000,0.1300,0.0130,0.5333,0.5000,0.0650,0.3667,0.6000,0.0260,0.5263,0.4238,0.7000,0.7000,0.7000,0.7000,0.5625,0.5263,0.3243,0.0000,0.0000,0.0000,0.0000,0.3532,19,13,1000,0.3333
79,0.0000,0.0000,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0094,0.0094,0.0073,0.0072,0.0067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0034,11,5,1000,0.0064
81,0.4000,0.0800,0.0110,0.4000,0.3000,0.0500,0.2333,0.6000,0.0220,0.4000,0.3156,0.6667,0.6667,0.6667,0.4615,0.4615,0.1250,0.0638,0.0242,0.0000,0.0000,0.0000,0.2625,15,11,1000,0.5000
87,0.2000,0.0400,0.0040,0.2667,0.2000,0.0200,0.1333,0.4000,0.0080,0.2500,0.1250,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,0.3077,0.3077,0.3077,0.3077,0.3077,0.3019,4,4,1000,0.2500
96,0.0000,0.0200,0.0100,0.0000,0.0500,0.0100,0.0333,0.0000,0.0100,0.0000,0.0000,0.0556,0.0274,0.0131,0.0131,0.0131,0.0118,0.0118,0.0000,0.0000,0.0000,0.0000,0.0115,15,10,1000,0.0556
97,0.3000,0.0600,0.0060,0.2667,0.2000,0.0300,0.1667,0.4000,0.0120,0.3333,0.2469,0.5000,0.5000,0.5000,0.5000,0.2857,0.1875,0.1875,0.0000,0.0000,0.0000,0.0000,0.2206,9,6,137,0.3333
99,0.1000,0.0100,0.0190,0.0667,0.0500,0.0050,0.0333,0.0000,0.0080,0.0345,0.0262,0.1250,0.0221,0.0221,0.0221,0.0221,0.0221,0.0221,0.0000,0.0000,0.0000,0.0000,0.0132,29,19,1000,0.1250
101,0.3000,0.0900,0.0200,0.2000,0.1500,0.0550,0.1667,0.4000,0.0340,0.1923,0.1257,0.5000,0.3750,0.1273,0.1047,0.0973,0.0553,0.0476,0.0315,0.0000,0.0000,0.0000,0.1069,26,20,1000,0.5000
102,0.2000,0.0200,0.0060,0.1333,0.1000,0.0250,0.0667,0.0000,0.0120,0.2500,0.0781,0.2500,0.2500,0.2500,0.0355,0.0355,0.0355,0.0355,0.0183,0.0000,0.0000,0.0000,0.0655,8,6,1000,0.1667
103,0.1000,0.0600,0.0150,0.0667,0.0500,0.0450,0.0333,0.2000,0.0220,0.0526,0.0499,0.5000,0.0750,0.0738,0.0738,0.0738,0.0253,0.0186,0.0165,0.0000,0.0000,0.0000,0.0605,19,15,1000,0.5000
104,0.2000,0.0700,0.0220,0.1333,0.1000,0.0450,0.0667,0.4000,0.0320,0.0588,0.0412,1.0000,0.0526,0.0328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0279,85,22,1000,1.0000
107,0.0000,0.0000,0.0050,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0096,0.0096,0.0096,0.0096,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0038,11,5,1000,0.0095
111,0.0000,0.0400,0.0190,0.0000,0.0000,0.0450,0.0000,0.0000,0.0240,0.0000,0.0000,0.0769,0.0526,0.0462,0.0284,0.0252,0.0213,0.0200,0.0000,0.0000,0.0000,0.0000,0.0218,31,19,1000,0.0286
115,0.0000,0.0100,0.0070,0.0000,0.0000,0.0050,0.0000,0.0000,0.0060,0.0000,0.0000,0.0115,0.0081,0.0081,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0026,20,7,1000,0.0115
121,0.0000,0.0800,0.0090,0.1333,0.1000,0.0450,0.0667,0.0000,0.0180,0.0000,0.0000,0.1429,0.1429,0.1400,0.1400,0.1400,0.1400,0.1400,0.1194,0.0783,0.0000,0.0000,0.0922,11,9,1000,0.0769
125,0.0000,0.0100,0.0020,0.0000,0.0000,0.0050,0.0333,0.0000,0.0040,0.0000,0.0000,0.0333,0.0333,0.0333,0.0333,0.0333,0.0333,0.0059,0.0059,0.0059,0.0059,0.0059,0.0196,2,2,1000,0.0333
127,0.0000,0.0300,0.0080,0.0000,0.0500,0.0150,0.0333,0.0000,0.0120,0.0000,0.0000,0.0625,0.0517,0.0517,0.0184,0.0184,0.0139,0.0137,0.0084,0.0000,0.0000,0.0000,0.0202,11,8,1000,0.0625
133,0.0000,0.0200,0.0040,0.0000,0.0500,0.0150,0.0333,0.0000,0.0060,0.0000,0.0000,0.0500,0.0500,0.0500,0.0455,0.0455,0.0455,0.0158,0.0158,0.0045,0.0045,0.0045,0.0289,4,4,1000,0.0500
134,0.0000,0.0200,0.0030,0.1333,0.1000,0.0100,0.0667,0.0000,0.0060,0.0000,0.0000,0.1333,0.1333,0.1333,0.1333,0.0062,0.0062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0352,6,3,1000,0.0714
136,0.0000,0.0800,0.0490,0.0667,0.0500,0.0850,0.2333,0.0000,0.0700,0.0789,0.0784,0.2333,0.0939,0.0740,0.0721,0.0508,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0366,114,49,1000,0.0909
137,0.0000,0.0200,0.0110,0.0667,0.0500,0.0100,0.0333,0.0000,0.0120,0.0250,0.0175,0.0769,0.0189,0.0118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0063,40,11,1000,0.0769
139,0.0000,0.0700,0.0090,0.0667,0.0500,0.0400,0.0667,0.0000,0.0180,0.0000,0.0000,0.0952,0.0952,0.0889,0.0889,0.0741,0.0741,0.0741,0.0000,0.0000,0.0000,0.0000,0.0490,13,9,1000,0.0714
141,0.2000,0.0400,0.0040,0.2667,0.2000,0.0200,0.1333,0.0000,0.0080,0.1250,0.0469,0.3077,0.3077,0.3077,0.3077,0.3077,0.3077,0.0000,0.0000,0.0000,0.0000,0.0000,0.1153,8,4,1000,0.1429
148,0.0000,0.0400,0.0150,0.0000,0.0500,0.0400,0.0333,0.0000,0.0260,0.0400,0.0112,0.0583,0.0583,0.0583,0.0513,0.0405,0.0363,0.0162,0.0000,0.0000,0.0000,0.0000,0.0261,25,15,1000,0.0526
152,0.0000,0.0300,0.0040,0.0667,0.0500,0.0150,0.0333,0.0000,0.0060,0.0000,0.0000,0.0769,0.0769,0.0769,0.0645,0.0645,0.0645,0.0536,0.0536,0.0074,0.0074,0.0074,0.0506,4,4,1000,0.0769
153,0.1000,0.1700,0.0500,0.1333,0.2000,0.1050,0.2000,0.0000,0.0780,0.2267,0.1397,0.2429,0.2429,0.2429,0.1010,0.0937,0.0850,0.0595,0.0000,0.0000,0.0000,0.0000,0.0871,75,50,1000,0.1667
155,0.1000,0.0300,0.0060,0.1333,0.1000,0.0300,0.0667,0.0000,0.0120,0.0000,0.0000,0.1667,0.1667,0.1667,0.0395,0.0382,0.0382,0.0382,0.0382,0.0000,0.0000,0.0000,0.0532,8,6,1000,0.1111
157,0.2000,0.1300,0.0400,0.1333,0.1000,0.1050,0.1000,0.2000,0.0540,0.1224,0.0970,0.2500,0.1374,0.0551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0272,147,40,1000,0.2500
160,0.1000,0.0100,0.0070,0.0667,0.0500,0.0200,0.0333,0.2000,0.0120,0.0833,0.0556,0.2000,0.0250,0.0250,0.0250,0.0235,0.0201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0262,12,7,1000,0.2000
163,0.0000,0.0600,0.0110,0.0000,0.1000,0.0500,0.1000,0.0000,0.0200,0.0000,0.0000,0.1364,0.1364,0.1364,0.1190,0.0923,0.0640,0.0549,0.0549,0.0000,0.0000,0.0000,0.0616,14,11,1000,0.0625
164,0.2000,0.0500,0.0080,0.2667,0.2000,0.0300,0.1333,0.4000,0.0140,0.2500,0.1944,1.0000,1.0000,0.2667,0.2667,0.1087,0.0339,0.0136,0.0000,0.0000,0.0000,0.0000,0.2245,12,8,1000,1.0000
165,0.0000,0.0000,0.0110,0.0000,0.0000,0.0050,0.0000,0.0000,0.0080,0.0000,0.0000,0.0128,0.0128,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0022,49,11,1000,0.0066
167,0.0000,0.0000,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0020,0.0000,0.0000,0.0032,0.0032,0.0032,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,6,2,1000,0.0026
169,0.0000,0.0300,0.0220,0.0000,0.0000,0.0300,0.0000,0.0000,0.0380,0.0000,0.0000,0.0426,0.0426,0.0426,0.0426,0.0426,0.0426,0.0424,0.0404,0.0352,0.0000,0.0000,0.0293,26,22,1000,0.0164
170,0.2000,0.0200,0.0030,0.1333,0.1000,0.0100,0.0667,0.4000,0.0060,0.4000,0.4000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0107,0.0107,0.0000,0.0000,0.0000,0.0000,0.4021,5,3,1000,1.0000
176,0.1000,0.0400,0.0120,0.1333,0.1000,0.0300,0.0667,0.0000,0.0240,0.1538,0.0473,0.1667,0.1667,0.0882,0.0690,0.0377,0.0373,0.0373,0.0348,0.0348,0.0279,0.0000,0.0555,13,12,1000,0.1111
177,0.1000,0.0600,0.0220,0.1333,0.1000,0.0450,0.0667,0.2000,0.0340,0.0667,0.0556,0.5000,0.0769,0.0769,0.0545,0.0480,0.0472,0.0325,0.0233,0.0000,0.0000,0.0000,0.0537,30,22,1000,0.5000
178,0.0000,0.0100,0.0080,0.0000,0.0000,0.0150,0.0000,0.0000,0.0140,0.0000,0.0000,0.0182,0.0182,0.0182,0.0182,0.0182,0.0182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0090,14,8,1000,0.0167
185,0.2000,0.0300,0.0120,0.1333,0.1000,0.0150,0.0667,0.4000,0.0160,0.0833,0.0799,1.0000,0.0345,0.0208,0.0208,0.0208,0.0208,0.0000,0.0000,0.0000,0.0000,0.0000,0.0708,24,12,1000,1.0000
189,0.0000,0.0100,0.0060,0.0667,0.0500,0.0050,0.0333,0.0000,0.0040,0.0556,0.0247,0.0909,0.0075,0.0075,0.0066,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0068,18,6,1000,0.0909
191,0.1000,0.0900,0.0130,0.2000,0.2000,0.0450,0.2000,0.2000,0.0260,0.2143,0.0969,0.3333,0.2222,0.2222,0.2069,0.2069,0.1059,0.1059,0.0495,0.0356,0.0356,0.0000,0.1289,14,13,1000,0.3333
192,0.0000,0.0000,0.0010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,1,1,1000,0.0011
194,0.1000,0.0800,0.0170,0.2000,0.2000,0.0550,0.1333,0.0000,0.0320,0.1250,0.0811,0.2500,0.2500,0.1458,0.0926,0.0452,0.0376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0536,32,17,1000,0.1000
197,0.0000,0.0100,0.0020,0.0000,0.0000,0.0100,0.0000,0.0000,0.0040,0.0000,0.0000,0.0323,0.0323,0.0323,0.0323,0.0163,0.0163,0.0163,0.0163,0.0000,0.0000,0.0000,0.0162,3,2,1000,0.0323
200,0.2000,0.0400,0.0160,0.1333,0.1000,0.0200,0.0667,0.0000,0.0180,0.0588,0.0458,0.2000,0.0506,0.0211,0.0211,0.0211,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0196,34,16,1000,0.1111
204,0.2000,0.0700,0.0130,0.1333,0.1500,0.0350,0.1333,0.2000,0.0240,0.1250,0.0859,0.3333,0.2000,0.1818,0.1200,0.0909,0.0319,0.0276,0.0268,0.0199,0.0000,0.0000,0.0846,16,13,1000,0.3333
207,0.0000,0.0400,0.0070,0.0000,0.0500,0.0250,0.0333,0.0000,0.0140,0.0000,0.0000,0.0882,0.0882,0.0882,0.0882,0.0882,0.0702,0.0376,0.0376,0.0191,0.0191,0.0191,0.0498,7,7,1000,0.0556
209,0.2000,0.0900,0.0090,0.2000,0.1500,0.0450,0.1333,0.2000,0.0180,0.2500,0.1389,0.5000,0.2727,0.2727,0.1951,0.1951,0.1951,0.1951,0.1915,0.0000,0.0000,0.0000,0.1714,12,9,1000,0.5000
221,0.2000,0.0800,0.0100,0.1333,0.1500,0.0450,0.2000,0.4000,0.0180,0.2000,0.1500,0.4000,0.4000,0.4000,0.2143,0.2143,0.2143,0.2143,0.2059,0.1096,0.0464,0.0180,0.1831,10,10,1000,0.3333
